	lig	adj_sint
legendarisk	legendarisk	adj_sint
legitim	legitim	adj_sint
leklysten	leken	adj_sint
lettisk	latvisk	adj_sint
levande	levende	adj
libanesisk	libanesisk	adj_sint
liberal	liberal	adj_sint
lidelsefull	ildfull	adj_sint
lidelsefull	lidenskapelig	adj_sint
lik	lik	adj_sint
likadan	likedan	adj_sint
likformig	likedan	adj_sint
likgiltig	likegyldig	adj_sint
liknande	lignende	adj
liknande	liknende	adj
likvärd	likeverdig	adj_sint
likvärdig	likeverdig	adj_sint
litauisk	litauisk	adj_sint
liten	liten	adj_sint
liten	småvokst	adj_sint
litterär	litterær	adj_sint
liturgisk	liturgisk	adj_sint
livaktig	levende	adj_sint
livlig	livlig	adj_sint
livlös	livløs	adj_sint
livsfarlig	livsfarlig	adj_sint
ljudlig	høy	adj_sint
ljuvlig	herlig	adj_sint
ljuvlig	ljuv	adj_sint
